run_id,website,status,report_url,gamma_url,keywords_count,quick_wins,traffic_value,ai_overview_serp_count,error
integratedhealthofindiana-com_20260309_102734,https://integratedhealthofindiana.com,completed,https://healthbizleads.com/integrated-health-of-indiana/,https://healthbizleads.com/integrated-health-of-indiana/,30,1,0,0,
sacramentofunctionalmedicine-com_20260309_102734,https://sacramentofunctionalmedicine.com,completed,https://healthbizleads.com/sacramento-functional-medicine/,https://healthbizleads.com/sacramento-functional-medicine/,30,3,118,7,
healthyindy-com_20260309_102734,https://healthyindy.com,completed,https://healthbizleads.com/integrative-health-specialists-of-indiana/,https://healthbizleads.com/integrative-health-specialists-of-indiana/,30,1,1177,5,
